respondent_id,age,years_education,highest_degree,bachelors_or_more,annual_family_income,employment_status,sex,race
3,57.0,12.0,high school,0.0,28485.0,working full time,female,white
6,27.0,12.0,high school,0.0,34815.0,working full time,male,white
8,47.0,16.0,graduate,1.0,158424.85359,working full time,male,white
9,31.0,12.0,high school,0.0,15033.75,working full time,female,white
12,25.0,16.0,bachelor's,1.0,20572.5,working part time,female,white
13,35.0,12.0,high school,0.0,88620.0,working full time,female,white
14,36.0,12.0,high school,0.0,1266.0,working part time,female,white
19,35.0,11.0,less than high school,0.0,7121.25,working part time,female,black
24,60.0,14.0,associate/junior college,0.0,52222.5,working full time,female,black
25,28.0,13.0,high school,0.0,316.5,working part time,male,white
27,59.0,12.0,high school,0.0,158424.85359,working full time,male,other
29,36.0,16.0,bachelor's,1.0,34815.0,working full time,male,other
36,46.0,14.0,associate/junior college,0.0,28485.0,working part time,male,white
39,38.0,16.0,bachelor's,1.0,158424.85359,working full time,female,white
40,64.0,13.0,high school,0.0,75960.0,working full time,male,white
41,49.0,16.0,bachelor's,1.0,101280.0,working full time,female,white
44,30.0,18.0,graduate,1.0,,working full time,male,black
46,50.0,17.0,bachelor's,1.0,75960.0,working full time,female,black
47,32.0,12.0,high school,0.0,28485.0,working full time,female,black
51,59.0,16.0,bachelor's,1.0,158424.85359,working full time,female,white
52,46.0,16.0,bachelor's,1.0,158424.85359,working full time,male,other
53,43.0,16.0,graduate,1.0,158424.85359,working full time,female,other
54,60.0,12.0,high school,0.0,63300.0,working full time,male,white
55,38.0,12.0,high school,0.0,158424.85359,working full time,male,white
57,28.0,14.0,high school,0.0,20572.5,working full time,female,black
62,30.0,12.0,high school,0.0,316.5,working part time,female,white
66,34.0,12.0,less than high school,0.0,,working full time,female,black
67,47.0,16.0,bachelor's,1.0,20572.5,working part time,female,white
68,47.0,15.0,high school,0.0,1266.0,working part time,female,white
69,58.0,17.0,bachelor's,1.0,42727.5,working full time,female,black
72,41.0,14.0,high school,0.0,63300.0,working full time,male,black
73,32.0,16.0,bachelor's,1.0,158424.85359,working full time,female,black
76,55.0,12.0,high school,0.0,34815.0,working full time,male,black
78,31.0,20.0,bachelor's,1.0,23737.5,working full time,female,black
83,44.0,15.0,associate/junior college,0.0,88620.0,working full time,male,white
89,26.0,16.0,bachelor's,1.0,75960.0,working full time,male,black
90,29.0,17.0,graduate,1.0,28485.0,working full time,male,
91,36.0,16.0,bachelor's,1.0,158424.85359,working full time,female,white
92,29.0,15.0,high school,0.0,,working part time,female,black
94,58.0,16.0,bachelor's,1.0,34815.0,working full time,female,black
95,46.0,16.0,bachelor's,1.0,28485.0,working part time,male,white
96,29.0,16.0,bachelor's,1.0,63300.0,working full time,female,other
97,46.0,16.0,high school,0.0,42727.5,working full time,female,white
99,28.0,16.0,bachelor's,1.0,23737.5,working full time,male,other
100,38.0,16.0,bachelor's,1.0,,working full time,female,white
101,25.0,14.0,associate/junior college,0.0,34815.0,working full time,male,black
102,34.0,16.0,bachelor's,1.0,42727.5,working full time,female,white
103,26.0,14.0,associate/junior college,0.0,11868.75,working part time,female,other
104,63.0,16.0,bachelor's,1.0,42727.5,working full time,male,white
106,47.0,18.0,graduate,1.0,88620.0,working full time,male,white
107,40.0,16.0,bachelor's,1.0,158424.85359,working full time,male,white
111,61.0,16.0,high school,0.0,,working full time,male,white
112,52.0,12.0,high school,0.0,23737.5,temporarily not at work,male,other
113,48.0,15.0,associate/junior college,0.0,101280.0,working full time,male,black
114,40.0,16.0,bachelor's,1.0,75960.0,working full time,male,white
116,44.0,12.0,less than high school,0.0,52222.5,working full time,male,white
117,42.0,12.0,high school,0.0,20572.5,working full time,male,other
118,46.0,16.0,bachelor's,1.0,34815.0,working full time,male,other
121,36.0,12.0,high school,0.0,88620.0,working full time,male,other
128,52.0,12.0,high school,0.0,42727.5,working part time,male,other
129,61.0,16.0,bachelor's,1.0,13451.25,working full time,male,white
130,31.0,18.0,graduate,1.0,42727.5,working full time,female,white
131,40.0,18.0,graduate,1.0,75960.0,working full time,male,other
132,43.0,18.0,graduate,1.0,75960.0,working full time,male,other
133,26.0,17.0,graduate,1.0,42727.5,working full time,male,black
137,56.0,14.0,associate/junior college,0.0,17407.5,working full time,female,black
140,34.0,16.0,bachelor's,1.0,75960.0,working full time,female,white
143,36.0,18.0,bachelor's,1.0,63300.0,working full time,male,black
150,29.0,18.0,graduate,1.0,158424.85359,working full time,male,black
151,44.0,11.0,high school,0.0,63300.0,working full time,female,other
152,37.0,10.0,less than high school,0.0,,working full time,male,other
162,46.0,16.0,bachelor's,1.0,42727.5,working full time,female,black
163,48.0,17.0,bachelor's,1.0,,working full time,male,other
164,55.0,20.0,graduate,1.0,158424.85359,working full time,female,white
166,40.0,18.0,graduate,1.0,158424.85359,working full time,female,white
169,31.0,18.0,associate/junior college,0.0,158424.85359,working full time,female,white
170,39.0,13.0,high school,0.0,42727.5,working full time,male,white
171,51.0,20.0,graduate,1.0,158424.85359,working full time,male,white
172,34.0,16.0,bachelor's,1.0,75960.0,working full time,male,white
173,29.0,16.0,bachelor's,1.0,158424.85359,working full time,female,white
175,41.0,16.0,graduate,1.0,63300.0,working full time,female,white
176,39.0,14.0,associate/junior college,0.0,13451.25,working full time,female,other
177,63.0,16.0,bachelor's,1.0,28485.0,working full time,female,black
178,41.0,16.0,bachelor's,1.0,15033.75,working part time,female,white
182,53.0,18.0,graduate,1.0,75960.0,working full time,female,black
183,34.0,16.0,bachelor's,1.0,8703.75,working full time,male,other
184,62.0,12.0,high school,0.0,88620.0,working full time,male,black
185,54.0,16.0,graduate,1.0,75960.0,working full time,female,other
186,37.0,16.0,bachelor's,1.0,52222.5,working full time,female,white
188,42.0,16.0,bachelor's,1.0,88620.0,working full time,male,white
189,47.0,12.0,high school,0.0,13451.25,working part time,female,white
190,49.0,18.0,graduate,1.0,158424.85359,working full time,male,white
193,64.0,18.0,graduate,1.0,75960.0,working part time,male,white
195,45.0,12.0,high school,0.0,101280.0,working full time,male,white
197,30.0,16.0,graduate,1.0,158424.85359,working full time,female,other
